ID,Timestamp,Machine_ID,Air_Temp_K,Process_Temp_K,RPM,Torque_Nm,Tool_Wear_Min,Machine_Status,Quality_Check,Product_Count
1,2026-06-01T06:00:00,LINE3-M01,297.8,308.1,1661,48.8,2,Running,True,1
2,2026-06-01T06:06:00,LINE1-M02,300.5,310.6,1735,53.5,4,Stopped,False,2
3,2026-06-01T06:11:00,LINE3-M02,299.1,308.4,1262,20.5,7,Stopped,True,3
4,2026-06-01T06:13:00,LINE2-M02,302.3,312.2,1692,57.6,12,Stopped,True,4
5,2026-06-01T06:17:00,LINE3-M01,298.8,308.5,1285,60.2,17,Running,False,5
6,2026-06-01T06:20:00,LINE1-M02,299.2,308.0,1686,31.5,22,Running,True,6
7,2026-06-01T06:24:00,LINE3-M01,300.4,311.3,1375,25.2,25,Running,True,7
8,2026-06-01T06:30:00,LINE1-M02,300.2,310.6,1301,31.1,28,Running,True,8
9,2026-06-01T06:36:00,LINE3-M02,298.6,309.2,1613,48.4,33,Running,True,9
10,2026-06-01T06:39:00,LINE1-M02,301.3,311.5,1459,52.0,38,Running,True,10
11,2026-06-01T06:42:00,LINE3-M02,302.4,311.5,1618,42.0,40,Running,True,11
12,2026-06-01T06:48:00,LINE1-M02,300.9,311.6,1270,33.4,45,Idle,True,12
13,2026-06-01T06:50:00,LINE3-M01,300.2,309.9,1533,19.9,47,Stopped,False,13
14,2026-06-01T06:56:00,LINE1-M01,303.2,314.0,1658,47.7,50,Running,True,14
15,2026-06-01T06:59:00,LINE3-M01,298.9,309.4,1532,49.4,55,Idle,True,15
16,2026-06-01T07:03:00,LINE1-M01,299.5,310.0,1301,31.4,57,Running,True,16
17,2026-06-01T07:09:00,LINE1-M01,299.2,308.9,1615,37.4,59,Running,True,17
18,2026-06-01T07:12:00,LINE3-M01,298.7,308.6,1262,33.7,62,Running,True,18
19,2026-06-01T07:18:00,LINE2-M01,300.1,312.6,1537,42.7,64,Running,True,19
20,2026-06-01T07:21:00,LINE1-M01,304.3,315.5,1326,34.5,66,Running,True,20
21,2026-06-01T07:27:00,LINE1-M02,302.8,314.2,1307,42.3,68,Running,True,21
22,2026-06-01T07:33:00,LINE2-M01,301.6,312.0,1352,34.4,71,Running,True,22
23,2026-06-01T07:38:00,LINE2-M01,297.9,308.4,1497,55.5,73,Running,True,23
24,2026-06-01T07:41:00,LINE1-M01,298.3,309.0,1766,41.8,76,Running,True,24
25,2026-06-01T07:43:00,LINE2-M01,302.7,315.2,1516,37.8,81,Idle,True,25
26,2026-06-01T07:46:00,LINE2-M02,298.8,308.0,1881,41.7,86,Running,True,26
27,2026-06-01T07:51:00,LINE2-M02,298.6,308.8,1525,32.7,89,Running,True,27
28,2026-06-01T07:54:00,LINE1-M01,294.2,303.4,1636,35.1,91,Running,True,28
29,2026-06-01T08:00:00,LINE1-M01,300.8,311.7,1225,43.7,94,Running,True,29
30,2026-06-01T08:05:00,LINE1-M01,300.6,310.7,1523,39.5,96,Running,True,30
31,2026-06-01T08:11:00,LINE2-M02,299.5,312.2,1540,31.1,99,Running,True,31
32,2026-06-01T08:16:00,LINE2-M01,296.4,306.2,1301,46.7,102,Idle,True,32
33,2026-06-01T08:19:00,LINE3-M02,299.1,309.9,1775,34.4,104,Running,True,33
34,2026-06-01T08:25:00,LINE3-M02,302.2,311.9,1611,28.3,106,Running,True,34
35,2026-06-01T08:27:00,LINE1-M02,300.7,311.3,1797,48.2,109,Stopped,False,35
36,2026-06-01T08:32:00,LINE2-M01,301.3,309.9,1384,45.9,111,Running,True,36
37,2026-06-01T08:36:00,LINE1-M02,299.4,310.2,1233,39.8,114,Running,True,37
38,2026-06-01T08:39:00,LINE3-M01,300.3,310.4,1497,21.2,116,Stopped,False,38
39,2026-06-01T08:42:00,LINE3-M01,298.5,308.7,1388,34.4,118,Idle,True,39
40,2026-06-01T08:48:00,LINE3-M01,297.4,305.4,1657,47.1,120,Running,True,40
41,2026-06-01T08:52:00,LINE2-M01,298.5,310.2,1460,37.1,125,Running,True,41
42,2026-06-01T08:55:00,LINE2-M02,300.5,312.7,1288,60.9,127,Running,True,42
43,2026-06-01T08:57:00,LINE2-M02,302.5,311.8,1590,47.0,129,Running,True,43
44,2026-06-01T08:59:00,LINE1-M02,298.9,310.0,2018,30.9,132,Running,True,44
45,2026-06-01T09:03:00,LINE2-M01,299.7,309.2,1434,64.0,135,Maintenance,False,45
46,2026-06-01T09:08:00,LINE1-M02,300.7,311.6,1518,50.2,138,Running,True,46
47,2026-06-01T09:13:00,LINE2-M02,301.4,311.5,1611,38.0,140,Running,True,47
48,2026-06-01T09:16:00,LINE3-M02,298.9,307.6,1514,35.6,142,Running,True,48
49,2026-06-01T09:22:00,LINE3-M02,298.8,309.6,1295,34.7,144,Running,True,49
